Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap
302,10164,5682,0.559032,0.156258,1.11806,2241,1.85184,3.31259
92,2932,2460,0.839018,0.351975,1.67804,236,0.739829,0.88178
5,139,131,0.942446,0.444102,1.88489,4,0.372764,0.395529
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
711,19438,8652,0.445108,0.0990604,0.890215,5393,1.76863,3.9735
134,2777,2145,0.772416,0.298313,1.54483,316,0.684783,0.886546
5,88,78,0.886364,0.39282,1.77273,5,0.512981,0.578748
380,8493,4589,0.540327,0.145977,1.08065,1952,1.30738,2.41961
2,15,13,0.866667,0.375556,1.73333,1,0.415241,0.479124
238,5872,4428,0.754087,0.284324,1.50817,722,0.804915,1.0674
4,23,17,0.73913,0.273157,1.47826,3,0.543395,0.735182
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
70,1502,1334,0.888149,0.394404,1.7763,84,0.37772,0.425289
47,570,460,0.807018,0.325639,1.61404,55,0.424508,0.52602
2,36,34,0.944444,0.445988,1.88889,1,0.318837,0.337592
3,27,23,0.851852,0.362826,1.7037,2,0.460673,0.54079
6,62,50,0.806452,0.325182,1.6129,6,0.555759,0.689141
139,3008,2192,0.728723,0.265519,1.45745,408,0.843846,1.15798
8253,601999,192971,0.32055,0.0513763,0.641101,204514,4.28759,13.3757
56,1871,1733,0.926243,0.428963,1.85249,69,0.376537,0.40652
241,5211,3913,0.750912,0.281934,1.50182,649,0.724494,0.964819
2,12,10,0.833333,0.347222,1.66667,1,0.448856,0.538627
1196,51673,30379,0.587909,0.172818,1.17582,10647,1.88875,3.21265
30,1269,1209,0.952719,0.453836,1.90544,30,0.322185,0.338175
1112,68230,41444,0.607416,0.184477,1.21483,13393,2.49154,4.10187
47,1323,1205,0.910809,0.414786,1.82162,59,0.402103,0.441479
12,58,36,0.62069,0.192628,1.24138,11,0.517642,0.833978
38,777,661,0.850708,0.361852,1.70142,58,0.527958,0.62061
2,14,12,0.857143,0.367347,1.71429,1,0.425137,0.495993
414,13040,8282,0.635123,0.20169,1.27025,2379,1.39634,2.19854
46,1359,1263,0.92936,0.431855,1.85872,48,0.333003,0.358315
5290,463480,180766,0.390019,0.0760574,0.780038,141357,4.7161,12.092
3,13,9,0.692308,0.239645,1.38462,2,0.581669,0.840188
332,8552,5520,0.645463,0.208311,1.29093,1516,1.16127,1.79913
43,1339,1243,0.928305,0.430875,1.85661,48,0.356969,0.384538
4,78,66,0.846154,0.357988,1.69231,6,0.790461,0.934181
36,626,518,0.827476,0.342358,1.65495,54,0.536238,0.64804
281,9862,7074,0.717299,0.257259,1.4346,1394,1.24207,1.7316
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471
632,30894,14406,0.466304,0.10872,0.932608,8244,2.90526,6.2304
2,4,2,0.5,0.125,1.0,1,0.715338,1.43068
68,1371,1135,0.827863,0.342678,1.65573,118,0.553108,0.668115
62,1231,1059,0.860276,0.370038,1.72055,86,0.44881,0.521704
571,30281,18729,0.618507,0.191275,1.23701,5776,2.25735,3.64967
178,5668,4090,0.721595,0.26035,1.44319,789,1.18092,1.63654
305,15521,10973,0.706978,0.249909,1.41396,2274,1.77901,2.51636
2,8,6,0.75,0.28125,1.5,1,0.523976,0.698634
4,43,37,0.860465,0.3702,1.72093,3,0.456356,0.53036
4,14,6,0.428571,0.0918367,0.857143,4,0.850274,1.98397
2,9,7,0.777778,0.302469,1.55556,1,0.5,0.642857
54,1172,1036,0.883959,0.390692,1.76792,68,0.410276,0.464135
150,3428,2866,0.836056,0.349495,1.67211,281,0.529914,0.633825
48,1459,1365,0.935572,0.437648,1.87114,47,0.309437,0.330746
52,949,805,0.848261,0.359774,1.69652,72,0.464991,0.54817
2,18,16,0.888889,0.395062,1.77778,1,0.391006,0.439881
55,846,632,0.747045,0.279038,1.49409,107,0.664458,0.889448
2,13,11,0.846154,0.357988,1.69231,1,0.436251,0.51557
3,122,118,0.967213,0.467751,1.93443,2,0.318994,0.329807
126,2481,1731,0.697703,0.243394,1.39541,375,0.876691,1.25654
996,59995,35277,0.587999,0.172871,1.176,12359,2.59697,4.41662
52,1765,1617,0.916147,0.419663,1.83229,74,0.438276,0.47839
