Size,Cluster Volume,Cluster cutedges,Conductance,Lower,Upper,Internal edges,Conn value,Final Gap,Cut size,Cluster 1 size,Cluster 2 size
153,2511,1861,0.741139,0.274644,1.48228,325,0.624756,0.842968,1,1,1
2,5,3,0.6,0.18,1.2,1,0.642549,1.07091,1,697,1
158,3437,2623,0.763166,0.291211,1.52633,407,0.728429,0.954484,1,1,1
911,51712,20356,0.393642,0.0774769,0.787283,15678,3.65107,9.2751,1,1,1
59,998,814,0.815631,0.332627,1.63126,92,0.519849,0.637358,1,1,1
542,30465,20557,0.674774,0.22766,1.34955,4954,2.03849,3.021,1,1,1
104,3263,2273,0.696598,0.242625,1.3932,495,1.35457,1.94455,1,342,3
13798,1667020,639408,0.383563,0.0735605,0.767127,513806,5.9849,15.6034,14,2,1
2,6,4,0.666667,0.222222,1.33333,1,0.591647,0.887471,1,30,30
52,1724,1616,0.937355,0.439317,1.87471,54,0.320831,0.342272,1,2,1
900,49966,20534,0.410959,0.0844438,0.821919,14716,3.47993,8.46783,1,166,6
44,1398,1308,0.935622,0.437695,1.87124,45,0.325107,0.347477,1,4152,1
3,104,100,0.961538,0.462278,1.92308,2,0.329839,0.343032,1,225,3
45,1094,990,0.904936,0.409455,1.80987,52,0.38019,0.420129,1,178,4
3,31,27,0.870968,0.379292,1.74194,2,0.442924,0.508542,1,2717,1
98,2917,2699,0.925266,0.428058,1.85053,109,0.320986,0.346913,1,41,16
43,1147,1061,0.925022,0.427833,1.85004,43,0.326804,0.353293,1,726,1
586,31163,24483,0.785643,0.308618,1.57129,3340,1.26838,1.61445,1,1,1
55,1650,1534,0.929697,0.432168,1.85939,58,0.327728,0.35251,1,1,1
45,783,693,0.885057,0.391663,1.77011,45,0.345505,0.390376,1,1,1
60,976,834,0.854508,0.365092,1.70902,71,0.395778,0.463164,1,321,2
3,13,9,0.692308,0.239645,1.38462,2,0.581669,0.840188,1,204,3
3,9,3,0.333333,0.0555556,0.666667,3,1.0,3.0,2,79,7
5459,582978,165716,0.284258,0.0404012,0.568515,208631,6.62853,23.3187,6,1,1
277,9301,5657,0.608214,0.184962,1.21643,1822,1.65742,2.72507,1,902,1
52,1324,1208,0.912387,0.416225,1.82477,58,0.357241,0.391546,1,551,2
